From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
RPF1	P46934	reviewed	NEDD4_HUMAN	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	NEDD4 KIAA0093 NEDD4-1 RPF1 PIG53	Homo sapiens (Human)	1319	beta-2 adrenergic receptor binding [GO:0031698]; enzyme binding [GO:0019899]; phosphoserine residue binding [GO:0050815]; phosphothreonine residue binding [GO:0050816]; proline-rich region binding [GO:0070064]; protein domain specific binding [GO:0019904]; RNA polymerase binding [GO:0070063]; sodium channel inhibitor activity [GO:0019871]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]
YAP1	P46937	reviewed	YAP1_HUMAN	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504	chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; proline-rich region binding [GO:0070064]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
RPL29	P47914	reviewed	RL29_HUMAN	Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (Cell surface heparin-binding protein HIP)	RPL29	Homo sapiens (Human)	159	cadherin binding [GO:0045296]; heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
XDH	P47989	reviewed	XDH_HUMAN	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH XDHA	Homo sapiens (Human)	1333	2 iron, 2 sulfur cluster binding [GO:0051537]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; hypoxanthine dehydrogenase activity [GO:0070674]; hypoxanthine oxidase activity [GO:0070675]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]
GCLC	P48506	reviewed	GSH1_HUMAN	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	GCLC GLCL GLCLC	Homo sapiens (Human)	637	ADP binding [GO:0043531]; ATP binding [GO:0005524]; glutamate binding [GO:0016595]; glutamate-cysteine ligase activity [GO:0004357]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]
NRIP1	P48552	reviewed	NRIP1_HUMAN	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	NRIP1	Homo sapiens (Human)	1158	histone deacetylase binding [GO:0042826]; nuclear estrogen receptor binding [GO:0030331]; nuclear glucocorticoid receptor binding [GO:0035259]; nuclear receptor binding [GO:0016922]; nuclear retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; signaling receptor binding [GO:0005102]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
CAMLG	P49069	reviewed	CAMLG_HUMAN	Guided entry of tail-anchored proteins factor CAMLG (Calcium signal-modulating cyclophilin ligand)	CAMLG CAML GET2	Homo sapiens (Human)	296	ubiquitin protein ligase binding [GO:0031625]
RPL34	P49207	reviewed	RL34_HUMAN	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)	RPL34	Homo sapiens (Human)	117	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
SLC11A1	P49279	reviewed	NRAM1_HUMAN	Natural resistance-associated macrophage protein 1 (NRAMP 1) (Solute carrier family 11 member 1)	SLC11A1 LSH NRAMP NRAMP1	Homo sapiens (Human)	550	cadmium ion transmembrane transporter activity [GO:0015086]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; metal cation:proton antiporter activity [GO:0051139]; protein homodimerization activity [GO:0042803]; transition metal ion transmembrane transporter activity [GO:0046915]
ACADVL	P49748	reviewed	ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	ACADVL VLCAD	Homo sapiens (Human)	655	acyl-CoA dehydrogenase activity [GO:0003995]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]
RGS6	P49758	reviewed	RGS6_HUMAN	Regulator of G-protein signaling 6 (RGS6) (S914)	RGS6	Homo sapiens (Human)	472	GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]
MNX1	P50219	reviewed	MNX1_HUMAN	Motor neuron and pancreas homeobox protein 1 (Homeobox protein HB9)	MNX1 HLXB9	Homo sapiens (Human)	401	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; sequence-specific double-stranded DNA binding [GO:1990837]
MXI1	P50539	reviewed	MXI1_HUMAN	Max-interacting protein 1 (Max interactor 1) (Class C basic helix-loop-helix protein 11) (bHLHc11)	MXI1 BHLHC11	Homo sapiens (Human)	228	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
TUB	P50607	reviewed	TUB_HUMAN	Tubby protein homolog	TUB	Homo sapiens (Human)	506	G protein-coupled receptor binding [GO:0001664]; intraciliary transport particle A binding [GO:0120160]; protein-containing complex binding [GO:0044877]
RLF	P51460	reviewed	INSL3_HUMAN	Insulin-like 3 (Leydig insulin-like peptide) (Ley-I-L) (Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain]	INSL3 RLF RLNL	Homo sapiens (Human)	131	G protein-coupled receptor binding [GO:0001664]; hormone activity [GO:0005179]; insulin receptor binding [GO:0005158]; protease binding [GO:0002020]; signaling receptor binding [GO:0005102]
NOVA1	P51513	reviewed	NOVA1_HUMAN	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1)	NOVA1	Homo sapiens (Human)	507	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]
IDH3G	P51553	reviewed	IDH3G_HUMAN	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)	IDH3G	Homo sapiens (Human)	393	ATP binding [GO:0005524]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
RPS6KA3	P51812	reviewed	KS6A3_HUMAN	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	RPS6KA3 ISPK1 MAPKAPK1B RSK2	Homo sapiens (Human)	740	ATP binding [GO:0005524]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ribosomal protein S6 kinase activity [GO:0004711]
ZNF136	P52737	reviewed	ZN136_HUMAN	Zinc finger protein 136	ZNF136	Homo sapiens (Human)	540	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
DGKQ	P52824	reviewed	DGKQ_HUMAN	Diacylglycerol kinase theta (DAG kinase theta) (DGKtheta) (EC 2.7.1.107) (EC 2.7.1.93) (Diglyceride kinase theta) (DGK-theta)	DGKQ DAGK4	Homo sapiens (Human)	942	alkylglycerol kinase activity [GO:0047649]; ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; DNA-binding transcription factor binding [GO:0140297]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; phospholipase binding [GO:0043274]; transmembrane receptor protein tyrosine kinase activator activity [GO:0030297]
HMGA2	P52926	reviewed	HMGA2_HUMAN	High mobility group protein HMGI-C (High mobility group AT-hook protein 2)	HMGA2 HMGIC	Homo sapiens (Human)	109	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; C2H2 zinc finger domain binding [GO:0070742]; cAMP response element binding [GO:0035497]; DNA binding, bending [GO:0008301]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; MH1 domain binding [GO:0035501]; MH2 domain binding [GO:0035500]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; nucleic acid binding [GO:0003676]; nucleosomal DNA binding [GO:0031492]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SMAD binding [GO:0046332]; transcription cis-regulatory region binding [GO:0000976]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]
CRIP2	P52943	reviewed	CRIP2_HUMAN	Cysteine-rich protein 2 (CRP-2) (Protein ESP1)	CRIP2 CRP2	Homo sapiens (Human)	208	zinc ion binding [GO:0008270]
LBX1	P52954	reviewed	LBX1_HUMAN	Transcription factor LBX1 (Ladybird homeobox protein homolog 1)	LBX1 LBX1H	Homo sapiens (Human)	281	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific double-stranded DNA binding [GO:1990837]
ARFIP2	P53365	reviewed	ARFP2_HUMAN	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (POR1)	ARFIP2 POR1	Homo sapiens (Human)	341	cadherin binding [GO:0045296]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; identical protein binding [GO:0042802]; membrane curvature sensor activity [GO:0140090]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phospholipid binding [GO:0005543]; protein domain specific binding [GO:0019904]; small GTPase binding [GO:0031267]
TTC3	P53804	reviewed	TTC3_HUMAN	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (Protein DCRR1) (RING finger protein 105) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Tetratricopeptide repeat protein 3) (TPR repeat protein 3)	TTC3 DCRR1 RNF105 TPRD	Homo sapiens (Human)	2025	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
SUB1	P53999	reviewed	TCP4_HUMAN	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	SUB1 PC4 RPO2TC1	Homo sapiens (Human)	127	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]; transcription coactivator activity [GO:0003713]
RARS1	P54136	reviewed	SYRC_HUMAN	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS1 RARS	Homo sapiens (Human)	660	arginine binding [GO:0034618]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; tRNA binding [GO:0000049]
ATXN3	P54252	reviewed	ATX3_HUMAN	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	Homo sapiens (Human)	361	ATPase binding [GO:0051117]; cysteine-type deubiquitinase activity [GO:0004843]; identical protein binding [GO:0042802]; K48-linked deubiquitinase activity [GO:1990380]; K63-linked deubiquitinase activity [GO:0061578]; ubiquitin protein ligase binding [GO:0031625]
ATXN1	P54253	reviewed	ATX1_HUMAN	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	ATXN1 ATX1 SCA1	Homo sapiens (Human)	815	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; protein self-association [GO:0043621]
HAP1	P54257	reviewed	HAP1_HUMAN	Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)	HAP1 HAP2 HLP1	Homo sapiens (Human)	671	brain-derived neurotrophic factor binding [GO:0048403]; myosin binding [GO:0017022]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]
ADAR	P55265	reviewed	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226	DNA binding [GO:0003677]; double-stranded RNA adenosine deaminase activity [GO:0003726]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; tRNA-specific adenosine deaminase activity [GO:0008251]
PAX9	P55771	reviewed	PAX9_HUMAN	Paired box protein Pax-9	PAX9	Homo sapiens (Human)	341	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]
RRP1	P56182	reviewed	RRP1_HUMAN	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	RRP1 D21S2056E NNP1 NOP52 RRP1A	Homo sapiens (Human)	461	RNA binding [GO:0003723]
STX17	P56962	reviewed	STX17_HUMAN	Syntaxin-17	STX17	Homo sapiens (Human)	302	protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
ZNF121	P58317	reviewed	ZN121_HUMAN	Zinc finger protein 121 (Zinc finger protein 20)	ZNF121 ZNF20	Homo sapiens (Human)	390	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
ADAMTS12	P58397	reviewed	ATS12_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12) (EC 3.4.24.-)	ADAMTS12 UNQ1918/PRO4389	Homo sapiens (Human)	1594	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
UBE2M	P61081	reviewed	UBC12_HUMAN	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)	UBE2M UBC12	Homo sapiens (Human)	183	ATP binding [GO:0005524]; NEDD8 conjugating enzyme activity [GO:0061654]; NEDD8 transferase activity [GO:0019788]; ubiquitin-protein transferase activity [GO:0004842]
RPS3A	P61247	reviewed	RS3A_HUMAN	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264	mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
RPL26	P61254	reviewed	RL26_HUMAN	Large ribosomal subunit protein uL24 (60S ribosomal protein L26)	RPL26	Homo sapiens (Human)	145	mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
RPL27	P61353	reviewed	RL27_HUMAN	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	RPL27	Homo sapiens (Human)	136	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
USP46	P62068	reviewed	UBP46_HUMAN	Ubiquitin carboxyl-terminal hydrolase 46 (EC 3.4.19.12) (Deubiquitinating enzyme 46) (Ubiquitin thioesterase 46) (Ubiquitin-specific-processing protease 46)	USP46	Homo sapiens (Human)	366	cysteine-type deubiquitinase activity [GO:0004843]; metal ion binding [GO:0046872]
RPS11	P62280	reviewed	RS11_HUMAN	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	RPS11	Homo sapiens (Human)	158	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
LSM3	P62310	reviewed	LSM3_HUMAN	U6 snRNA-associated Sm-like protein LSm3	LSM3 MDS017	Homo sapiens (Human)	102	RNA binding [GO:0003723]; U6 snRNA 3'-end binding [GO:0030629]
TBPL1	P62380	reviewed	TBPL1_HUMAN	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)	TBPL1 TLF TLP TLP21 TRF2 TRP	Homo sapiens (Human)	186	general transcription initiation factor activity [GO:0140223]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II general transcription initiation factor activity [GO:0016251]
RPL7A	P62424	reviewed	RL7A_HUMAN	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
RPS25	P62851	reviewed	RS25_HUMAN	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25	Homo sapiens (Human)	125	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
RPS26	P62854	reviewed	RS26_HUMAN	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Homo sapiens (Human)	115	cadherin binding [GO:0045296]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
FAU	P62861	reviewed	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	Homo sapiens (Human)	133	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
RPL10A	P62906	reviewed	RL10A_HUMAN	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6	Homo sapiens (Human)	217	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
RPL8	P62917	reviewed	RL8_HUMAN	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	RPL8	Homo sapiens (Human)	257	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
BLCAP	P62952	reviewed	BLCAP_HUMAN	Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10)	BLCAP BC10	Homo sapiens (Human)	87	
RPS27A	P62979	reviewed	RS27A_HUMAN	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156	metal ion binding [GO:0046872]; protein tag activity [GO:0031386]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]
RAC1	P63000	reviewed	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5	Homo sapiens (Human)	192	enzyme binding [GO:0019899]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; Rho GDP-dissociation inhibitor binding [GO:0051022]; thioesterase binding [GO:0031996]
GNAI1	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)	GNAI1	Homo sapiens (Human)	354	D2 dopamine receptor binding [GO:0031749]; G protein-coupled receptor binding [GO:0001664]; G protein-coupled serotonin receptor binding [GO:0031821]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]
SUMO1	P63165	reviewed	SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101	enzyme binding [GO:0019899]; potassium channel regulator activity [GO:0015459]; protein tag activity [GO:0031386]; RNA binding [GO:0003723]; small protein activating enzyme binding [GO:0044388]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin-specific protease binding [GO:1990381]
UBE2I	P63279	reviewed	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; RING-like zinc finger domain binding [GO:0071535]; RNA binding [GO:0003723]; small protein activating enzyme binding [GO:0044388]; SUMO conjugating enzyme activity [GO:0061656]; SUMO transferase activity [GO:0019789]; transcription coregulator binding [GO:0001221]; transcription factor binding [GO:0008134]
PAFAH1B2	P68402	reviewed	PA1B2_HUMAN	Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Homo sapiens (Human)	229	1-alkyl-2-acetylglycerophosphocholine esterase activity [GO:0003847]; platelet-activating factor acetyltransferase activity [GO:0047179]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]
NOP14	P78316	reviewed	NOP14_HUMAN	Nucleolar protein 14 (Nucleolar complex protein 14)	NOP14 C4orf9 NOL14 RES4-25	Homo sapiens (Human)	857	enzyme binding [GO:0019899]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]
PITX1	P78337	reviewed	PITX1_HUMAN	Pituitary homeobox 1 (Hindlimb-expressed homeobox protein backfoot) (Homeobox protein PITX1) (Paired-like homeodomain transcription factor 1)	PITX1 BFT PTX1	Homo sapiens (Human)	314	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific double-stranded DNA binding [GO:1990837]
RPP38	P78345	reviewed	RPP38_HUMAN	Ribonuclease P protein subunit p38 (RNaseP protein p38)	RPP38	Homo sapiens (Human)	283	ribonuclease P activity [GO:0004526]; ribonuclease P RNA binding [GO:0033204]
RPP30	P78346	reviewed	RPP30_HUMAN	Ribonuclease P protein subunit p30 (RNaseP protein p30) (RNase P subunit 2)	RPP30 RNASEP2	Homo sapiens (Human)	268	ribonuclease P activity [GO:0004526]; ribonuclease P RNA binding [GO:0033204]; RNA binding [GO:0003723]
RPF1	P78424	reviewed	PO6F2_HUMAN	POU domain, class 6, transcription factor 2 (Retina-derived POU domain factor 1) (RPF-1)	POU6F2 RPF1	Homo sapiens (Human)	691	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
MAP3K9	P80192	reviewed	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	Homo sapiens (Human)	1104	ATP binding [GO:0005524]; JUN kinase kinase kinase activity [GO:0004706]; MAP kinase kinase activity [GO:0004708]; protein homodimerization activity [GO:0042803]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
IFI35	P80217	reviewed	IN35_HUMAN	Interferon-induced 35 kDa protein (IFP 35) (Ifi-35)	IFI35 IFP35	Homo sapiens (Human)	286	identical protein binding [GO:0042802]
RPL19	P84098	reviewed	RL19_HUMAN	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	RPL19	Homo sapiens (Human)	196	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
SERF2	P84101	reviewed	SERF2_HUMAN	Small EDRK-rich factor 2 (Gastric cancer-related protein VRG107) (Protein 4F5-related) (4F5rel) (h4F5rel)	SERF2 FAM2C	Homo sapiens (Human)	59	
HTD2	P86397	reviewed	HTD2_HUMAN	Hydroxyacyl-thioester dehydratase type 2, mitochondrial (HsHTD2) (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase)	HTD2	Homo sapiens (Human)	168	(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; 3-hydroxyacyl-CoA dehydratase activity [GO:0018812]
ATP8B2	P98198	reviewed	AT8B2_HUMAN	Phospholipid-transporting ATPase ID (EC 7.6.2.1) (ATPase class I type 8B member 2) (P4-ATPase flippase complex alpha subunit ATP8B2)	ATP8B2 ATPID KIAA1137	Homo sapiens (Human)	1209	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phosphatidylcholine flippase activity [GO:0140345]; phosphatidylcholine floppase activity [GO:0090554]
NDP	Q00604	reviewed	NDP_HUMAN	Norrin (Norrie disease protein) (X-linked exudative vitreoretinopathy 2 protein)	NDP EVR2	Homo sapiens (Human)	133	cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; protein homodimerization activity [GO:0042803]
CD83	Q01151	reviewed	CD83_HUMAN	CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83)	CD83	Homo sapiens (Human)	205	
AMPD3	Q01432	reviewed	AMPD3_HUMAN	AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase)	AMPD3	Homo sapiens (Human)	767	AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]
