sample,spot_id,pixels,mean_intensity,centroid_r,centroid_c,microns
Control-roi-01,1084,9,0.033342658,1727,996,0.016276912
Control-roi-01,1085,41,0.059749119,1730,644,0.074150375
Control-roi-01,1086,73,0.065739211,1734,614,0.132023838
Control-roi-01,1087,12,0.034266677,1729,1004,0.021702549
Control-roi-01,1088,52,0.060063618,1735,1012,0.094044378
Control-roi-01,1089,43,0.059586835,1736,578,0.077767466
Control-roi-01,1090,50,0.045046159,1737,1026,0.090427286
Control-roi-01,1091,27,0.045263345,1737,590,0.048830735
Control-roi-01,1092,46,0.072933812,1738,940,0.083193104
Control-roi-01,1093,43,0.076295819,1738,961,0.077767466
Control-roi-01,1094,29,0.041214092,1737,972,0.052447826
Control-roi-01,1095,26,0.03410274,1742,640,0.047022189
Control-roi-01,1096,56,0.065781371,1743,925,0.101278561
Control-roi-01,1097,12,0.033160398,1744,914,0.021702549
Control-roi-01,1098,9,0.046050033,1744,960,0.016276912
Control-roi-01,1099,16,0.039545663,1746,942,0.028936732
Control-roi-01,1100,32,0.052422847,1748,980,0.057873463
Control-roi-01,1101,12,0.030847384,1747,622,0.021702549
Control-roi-01,1102,15,0.029822232,1751,635,0.027128186
Control-roi-01,1103,43,0.072557004,1753,592,0.077767466
Control-roi-01,1104,43,0.070345865,1753,969,0.077767466
Control-roi-01,1105,24,0.03707688,1752,998,0.043405097
Control-roi-01,1106,68,0.054511734,1761,607,0.12298111
Control-roi-01,1107,33,0.041749146,1760,952,0.059682009
Control-roi-01,1108,48,0.084012042,1761,580,0.086810195
Control-roi-01,1109,9,0.028380085,1759,624,0.016276912
Control-roi-01,1110,29,0.030984233,1762,1004,0.052447826
Control-roi-01,1111,15,0.026750083,1763,1020,0.027128186
Control-roi-01,1112,53,0.065625886,1770,622,0.095852924
Control-roi-01,1113,37,0.059038393,1772,569,0.066916192
Control-roi-01,1114,28,0.044906212,1778,576,0.05063928
Control-roi-01,1115,48,0.09507833,1835,1329,0.086810195
Control-roi-03,1,19,0.02369967,101,1067,0.034362369
Control-roi-03,2,39,0.047273624,113,1067,0.070533283
Control-roi-03,3,62,0.059151844,114,1079,0.112129835
Control-roi-03,4,26,0.024220176,114,1597,0.047022189
Control-roi-03,5,57,0.048340314,116,1054,0.103087107
Control-roi-03,6,76,0.057360872,120,1614,0.137449475
Control-roi-03,7,26,0.031023939,120,1096,0.047022189
Control-roi-03,8,55,0.032102763,124,1590,0.099470015
Control-roi-03,9,35,0.039328603,124,1087,0.063299101
Control-roi-03,10,34,0.043923095,126,1064,0.061490555
Control-roi-03,11,37,0.031429873,128,1565,0.066916192
Control-roi-03,12,32,0.03013323,132,1645,0.057873463
Control-roi-03,13,28,0.036758984,134,1586,0.05063928
Control-roi-03,14,31,0.034350519,134,1617,0.056064918
Control-roi-03,15,40,0.047526513,136,1074,0.072341829
Control-roi-03,16,15,0.020772615,139,1575,0.027128186
Control-roi-03,17,56,0.043226629,140,1602,0.101278561
Control-roi-03,18,22,0.036980933,140,1066,0.039788006
Control-roi-03,19,32,0.039694438,140,1633,0.057873463
Control-roi-03,20,23,0.038759242,147,1615,0.041596552
Control-roi-03,21,51,0.050550447,151,1061,0.092235832
Control-roi-03,22,34,0.039474192,150,1630,0.061490555
Control-roi-03,23,52,0.043408396,154,1072,0.094044378
Control-roi-03,24,38,0.050210213,153,1599,0.068724738
Control-roi-03,25,45,0.052541899,153,1609,0.081384558
Control-roi-03,26,36,0.040359265,154,1571,0.065107646
Control-roi-03,27,34,0.042538114,159,1634,0.061490555
Control-roi-03,28,37,0.057111632,160,1060,0.066916192
Control-roi-03,29,38,0.035280063,160,1588,0.068724738
Control-roi-03,30,15,0.029341065,159,1559,0.027128186
Control-roi-03,31,33,0.04794061,162,1672,0.059682009
Control-roi-03,32,28,0.024004621,164,1658,0.05063928
Control-roi-03,33,9,0.022293431,165,1577,0.016276912
Control-roi-03,34,12,0.031591262,166,1645,0.021702549
Control-roi-03,35,47,0.065953064,169,1558,0.085001649
Control-roi-03,36,42,0.044004113,170,1676,0.075958921
Control-roi-03,37,23,0.021436272,172,1050,0.041596552
Control-roi-03,38,42,0.046895697,173,1648,0.075958921
Control-roi-03,39,26,0.028889437,174,1635,0.047022189
Control-roi-03,40,24,0.028804583,176,1574,0.043405097
Control-roi-03,41,38,0.026700477,176,1724,0.068724738
Control-roi-03,42,23,0.033045734,177,1625,0.041596552
Control-roi-03,43,28,0.037033646,178,1682,0.05063928
Control-roi-03,44,12,0.026237888,178,1616,0.021702549
Control-roi-03,45,15,0.026319778,179,1597,0.027128186
Control-roi-03,46,22,0.027254,184,1588,0.039788006
Control-roi-03,47,50,0.057282063,185,1606,0.090427286
Control-roi-03,48,16,0.033120661,184,1632,0.028936732
Control-roi-03,49,37,0.041598568,186,1568,0.066916192
Control-roi-03,50,34,0.039920294,185,1647,0.061490555
Control-roi-03,51,75,0.046092419,188,1684,0.13564093
Control-roi-03,52,42,0.048133131,189,1621,0.075958921
Control-roi-03,53,23,0.022621168,188,1720,0.041596552
Control-roi-03,54,19,0.028557661,189,1660,0.034362369
Control-roi-03,55,18,0.023196256,192,1579,0.032553823
Control-roi-03,56,58,0.036732675,195,1589,0.104895652
Control-roi-03,57,30,0.043050278,195,1635,0.054256372
Control-roi-03,58,33,0.040662981,199,1660,0.059682009
Control-roi-03,59,27,0.031969346,201,1612,0.048830735
Control-roi-03,60,28,0.039918146,200,1716,0.05063928
Control-roi-03,61,21,0.030821771,204,1621,0.03797946
Control-roi-03,62,64,0.075774872,208,1689,0.115746927
Control-roi-03,63,9,0.021382976,206,1582,0.016276912
Control-roi-03,64,9,0.024155032,206,1702,0.016276912
Control-roi-03,65,32,0.044004158,209,1713,0.057873463
Control-roi-03,66,24,0.037246001,210,1670,0.043405097
Control-roi-03,67,27,0.039147303,211,1662,0.048830735
Control-roi-03,68,22,0.037063471,212,1722,0.039788006
Control-roi-03,69,29,0.033025785,213,1635,0.052447826
Control-roi-03,70,9,0.021064232,212,1647,0.016276912
Control-roi-03,71,20,0.021350423,214,1588,0.036170915
Control-roi-03,72,12,0.027559065,214,1702,0.021702549
Control-roi-03,73,27,0.030687588,218,890,0.048830735
Control-roi-03,74,25,0.028745556,219,901,0.045213643
Control-roi-03,75,36,0.044457584,220,1657,0.065107646
Control-roi-03,76,15,0.023406322,219,1706,0.027128186
Control-roi-03,77,15,0.022600646,221,1050,0.027128186
Control-roi-03,78,35,0.031726994,223,1646,0.063299101
Control-roi-03,79,35,0.031410479,222,1723,0.063299101
Control-roi-03,80,41,0.039407354,223,881,0.074150375
Control-roi-03,81,25,0.022086519,225,1679,0.045213643
Control-roi-03,82,32,0.043613622,227,909,0.057873463
Control-roi-03,83,42,0.044151617,228,1604,0.075958921
Control-roi-03,84,54,0.046570252,234,1054,0.097661469
Control-roi-03,85,43,0.04105564,233,1660,0.077767466
Control-roi-03,86,19,0.023856276,233,925,0.034362369
Control-roi-03,87,9,0.022103541,234,1650,0.016276912
Control-roi-03,88,55,0.056326599,238,894,0.099470015
Control-roi-03,89,39,0.049796449,237,913,0.070533283
Control-roi-03,90,33,0.048108922,245,915,0.059682009
Control-roi-03,91,54,0.075272472,251,905,0.097661469
Control-roi-03,92,21,0.020790054,250,1042,0.03797946
Control-roi-03,93,83,0.060006379,254,889,0.150109296
Control-roi-03,94,80,0.067651446,270,884,0.144683658
Control-roi-03,95,79,0.042180958,268,912,0.142875113
Control-roi-03,96,24,0.026609827,279,1548,0.043405097
Control-roi-03,97,55,0.065786915,282,876,0.099470015
Control-roi-03,98,27,0.02397927,287,549,0.048830735
Control-roi-03,99,18,0.035485703,287,900,0.032553823
Control-roi-03,100,19,0.035812924,287,909,0.034362369
Control-roi-03,101,58,0.052194537,291,891,0.104895652
Control-roi-03,102,43,0.063154608,291,927,0.077767466
Control-roi-03,103,36,0.054627722,290,917,0.065107646
Control-roi-03,104,15,0.023872231,290,1548,0.027128186
Control-roi-03,105,45,0.042087773,296,1541,0.081384558
Control-roi-03,106,9,0.020057137,295,529,0.016276912
Control-roi-03,107,12,0.024277104,295,538,0.021702549
Control-roi-03,108,16,0.028974975,296,900,0.028936732
Control-roi-03,109,23,0.025462,298,1529,0.041596552
Control-roi-03,110,22,0.041528122,299,918,0.039788006
Control-roi-03,111,41,0.0557092,304,926,0.074150375
Control-roi-03,112,27,0.021564389,308,1516,0.048830735
Control-roi-03,113,42,0.048617424,310,540,0.075958921
Control-roi-03,114,33,0.034319852,310,553,0.059682009
Control-roi-03,115,30,0.027735815,313,518,0.054256372
Control-roi-03,116,26,0.02819339,321,959,0.047022189
Control-roi-03,117,15,0.022859032,326,951,0.027128186
Control-roi-03,118,52,0.034207793,341,834,0.094044378
Control-roi-03,119,33,0.036104233,342,564,0.059682009
Control-roi-03,120,35,0.039505172,349,574,0.063299101
Control-roi-03,121,34,0.027658324,352,846,0.061490555
Control-roi-03,122,55,0.042593201,357,561,0.099470015
Control-roi-03,123,23,0.031515851,361,584,0.041596552
Control-roi-03,124,34,0.027267423,361,602,0.061490555
Control-roi-03,125,18,0.029410069,362,574,0.032553823
Control-roi-03,126,33,0.026624681,364,845,0.059682009
Control-roi-03,127,28,0.036300668,370,578,0.05063928
Control-roi-03,128,15,0.017518374,373,474,0.027128186
Control-roi-03,129,55,0.03850961,373,606,0.099470015
Control-roi-03,130,34,0.037002231,379,844,0.061490555
Control-roi-03,131,42,0.034108637,380,1318,0.075958921
Control-roi-03,132,30,0.025777066,381,596,0.054256372
Control-roi-03,133,36,0.036591982,388,871,0.065107646
Control-roi-03,134,27,0.038596848,388,845,0.048830735
Control-roi-03,135,25,0.028091249,389,581,0.045213643
Control-roi-03,136,9,0.01707315,389,505,0.016276912
Control-roi-03,137,26,0.027898774,390,1326,0.047022189
Control-roi-03,138,34,0.04197353,392,852,0.061490555
Control-roi-03,139,33,0.041148033,393,565,0.059682009
Control-roi-03,140,30,0.035290557,394,861,0.054256372
Control-roi-03,141,12,0.017578393,394,831,0.021702549
Control-roi-03,142,55,0.028340165,397,606,0.099470015
Control-roi-03,143,28,0.035632541,397,1364,0.05063928
Control-roi-03,144,15,0.024199791,398,595,0.027128186
Control-roi-03,145,19,0.031441616,400,572,0.034362369
Control-roi-03,146,28,0.036466882,401,839,0.05063928
Control-roi-03,147,42,0.044546171,402,868,0.075958921
Control-roi-03,148,19,0.02886766,401,1353,0.034362369
Control-roi-03,149,20,0.022374304,402,623,0.036170915
Control-roi-03,150,28,0.039988447,405,584,0.05063928
Control-roi-03,151,39,0.044810661,405,1369,0.070533283
Control-roi-03,152,48,0.037268889,406,1409,0.086810195
Control-roi-03,153,47,0.042913564,407,851,0.085001649
Control-roi-03,154,27,0.036789502,406,1329,0.048830735
Control-roi-03,155,20,0.034632639,406,1338,0.036170915
Control-roi-03,156,33,0.050448638,408,862,0.059682009
Control-roi-03,157,46,0.043176729,410,812,0.083193104
Control-roi-03,158,46,0.050950206,410,1315,0.083193104
Control-roi-03,159,25,0.026335241,411,573,0.045213643
Control-roi-03,160,52,0.038157238,414,839,0.094044378
Control-roi-03,161,22,0.030722653,410,1430,0.039788006
Control-roi-03,162,12,0.040234226,414,1323,0.021702549
Control-roi-03,163,45,0.060938769,417,1411,0.081384558
Control-roi-03,164,30,0.038909997,417,1399,0.054256372
Control-roi-03,165,27,0.039505608,418,831,0.048830735
Control-roi-03,166,38,0.04127445,420,593,0.068724738
Control-roi-03,167,45,0.04533218,420,796,0.081384558
Control-roi-03,168,26,0.032913123,419,1326,0.047022189
Control-roi-03,169,36,0.035845138,421,1381,0.065107646
Control-roi-03,170,49,0.041150779,422,814,0.088618741
Control-roi-03,171,37,0.0400871,421,854,0.066916192
Control-roi-03,172,15,0.021966888,421,608,0.027128186
Control-roi-03,173,56,0.044376778,425,1349,0.101278561
Control-roi-03,174,36,0.035663301,424,1363,0.065107646
Control-roi-03,175,23,0.023642859,427,1295,0.041596552
Control-roi-03,176,16,0.03557641,426,1402,0.028936732
Control-roi-03,177,61,0.047110854,431,833,0.110321289
Control-roi-03,178,28,0.029384516,428,846,0.05063928
Control-roi-03,179,48,0.06723888,429,1432,0.086810195
Control-roi-03,180,28,0.033811813,430,1392,0.05063928
Control-roi-03,181,24,0.03484652,430,1306,0.043405097
Control-roi-03,182,42,0.038854193,431,1412,0.075958921
Control-roi-03,183,12,0.034456143,430,606,0.021702549
Control-roi-03,184,16,0.031367781,432,600,0.028936732
Control-roi-03,185,33,0.039006222,432,1326,0.059682009
Control-roi-03,186,31,0.03999685,432,1343,0.056064918
Control-roi-03,187,15,0.023854938,432,1377,0.027128186
Control-roi-03,188,52,0.05264568,436,613,0.094044378
Control-roi-03,189,68,0.060892024,436,800,0.12298111
Control-roi-03,190,23,0.032018735,435,1362,0.041596552
Control-roi-03,191,31,0.053300748,436,1439,0.056064918
Control-roi-03,192,9,0.031467494,437,1356,0.016276912
Control-roi-03,193,35,0.027772292,441,596,0.063299101
Control-roi-03,194,15,0.024401211,440,1307,0.027128186
Control-roi-03,195,27,0.030177259,440,1373,0.048830735
Control-roi-03,196,28,0.037283785,440,1398,0.05063928
Control-roi-03,197,31,0.031066876,442,585,0.056064918
Control-roi-03,198,46,0.03476735,443,1069,0.083193104
Control-roi-03,199,12,0.025122708,440,1294,0.021702549
Control-roi-03,200,32,0.040821221,441,1421,0.057873463
Control-roi-03,201,27,0.028449599,442,816,0.048830735
Control-roi-03,202,36,0.040402499,444,572,0.065107646
Control-roi-03,203,27,0.043252545,443,1351,0.048830735
Control-roi-03,204,32,0.04323024,445,1324,0.057873463
Control-roi-03,205,40,0.036273365,444,1448,0.072341829
Control-roi-03,206,32,0.033878843,447,826,0.057873463
Control-roi-03,207,35,0.048977973,448,1391,0.063299101
Control-roi-03,208,43,0.054907284,449,1405,0.077767466
Control-roi-03,209,37,0.026680194,451,1298,0.066916192
Control-roi-03,210,24,0.029722031,450,1367,0.043405097
Control-roi-03,211,39,0.044788359,451,1336,0.070533283
Control-roi-03,212,21,0.037576431,451,1347,0.03797946
Control-roi-03,213,9,0.03021795,450,1434,0.016276912
Control-roi-03,214,9,0.03889016,451,1329,0.016276912
Control-roi-03,215,46,0.048309068,453,1382,0.083193104
Control-roi-03,216,30,0.03228453,453,558,0.054256372
Control-roi-03,217,27,0.032795029,454,1288,0.048830735
Control-roi-03,218,75,0.040409145,458,1318,0.13564093
Control-roi-03,219,32,0.035124361,454,1454,0.057873463
Control-roi-03,220,78,0.04895329,457,1424,0.141066567
Control-roi-03,221,27,0.030353585,457,577,0.048830735
Control-roi-03,222,39,0.046063857,458,1359,0.070533283
Control-roi-03,223,9,0.031901528,458,1346,0.016276912
Control-roi-03,224,27,0.026054497,462,545,0.048830735
Control-roi-03,225,31,0.042775961,463,1371,0.056064918
Control-roi-03,226,9,0.020301281,462,595,0.016276912
Control-roi-03,227,27,0.026183351,465,1453,0.048830735
Control-roi-03,228,25,0.035538262,466,1356,0.045213643
Control-roi-03,229,30,0.045108212,469,1379,0.054256372
Control-roi-03,230,71,0.051655873,473,1177,0.128406747
Control-roi-03,231,30,0.030226088,472,1427,0.054256372
Control-roi-03,232,30,0.034484881,474,582,0.054256372
Control-roi-03,233,22,0.021714282,473,627,0.039788006
Control-roi-03,234,22,0.026210144,474,614,0.039788006
Control-roi-03,235,59,0.040503393,477,1346,0.106704198
Control-roi-03,236,26,0.034751835,474,1368,0.047022189
Control-roi-03,237,45,0.027707671,476,565,0.081384558
Control-roi-03,238,21,0.033409992,475,1357,0.03797946
Control-roi-03,239,22,0.024447727,476,1334,0.039788006
Control-roi-03,240,20,0.028952468,476,1448,0.036170915
Control-roi-03,241,36,0.048710189,478,1377,0.065107646
Control-roi-03,242,32,0.041651408,478,1440,0.057873463
Control-roi-03,243,16,0.030363546,478,598,0.028936732
Control-roi-03,244,56,0.046408408,481,1413,0.101278561
Control-roi-03,245,18,0.033401151,481,610,0.032553823
Control-roi-03,246,26,0.047966148,483,1183,0.047022189
Control-roi-03,247,28,0.02932675,485,1398,0.05063928
Control-roi-03,248,31,0.032066588,486,1143,0.056064918
Control-roi-03,249,54,0.035253144,489,1170,0.097661469
Control-roi-03,250,18,0.021616948,486,519,0.032553823
Control-roi-03,251,37,0.026962692,487,1004,0.066916192
Control-roi-03,252,38,0.036094815,489,617,0.068724738
Control-roi-03,253,43,0.042842011,491,1384,0.077767466
Control-roi-03,254,45,0.053254665,492,1184,0.081384558
Control-roi-03,255,36,0.040500411,490,1368,0.065107646
Control-roi-03,256,31,0.034387929,491,1408,0.056064918
Control-roi-03,257,15,0.025691107,492,523,0.027128186
Control-roi-03,258,35,0.035614121,493,591,0.063299101
Control-roi-03,259,21,0.023690721,494,511,0.03797946
Control-roi-03,260,16,0.029350729,494,530,0.028936732
Control-roi-03,261,27,0.037533238,495,1399,0.048830735
Control-roi-03,262,28,0.031564922,495,1423,0.05063928
Control-roi-03,263,9,0.017420717,495,1135,0.016276912
Control-roi-03,264,37,0.038757916,496,1150,0.066916192
Control-roi-03,265,22,0.024046831,498,1009,0.039788006
Control-roi-03,266,23,0.035259619,499,1375,0.041596552
Control-roi-03,267,47,0.034095148,501,550,0.085001649
Control-roi-03,268,16,0.021439879,500,624,0.028936732
Control-roi-03,269,39,0.032284569,504,537,0.070533283
Control-roi-03,270,14,0.030144198,504,566,0.02531964
Control-roi-03,271,22,0.0293646,504,609,0.039788006
Control-roi-03,272,14,0.027991586,504,1172,0.02531964
Control-roi-03,273,32,0.033073453,506,504,0.057873463
Control-roi-03,274,15,0.024068564,505,1003,0.027128186
Control-roi-03,275,22,0.027991288,508,616,0.039788006
Control-roi-03,276,41,0.04622516,509,1164,0.074150375
Control-roi-03,277,22,0.030503478,510,1174,0.039788006
Control-roi-03,278,19,0.027034971,508,1367,0.034362369
Control-roi-03,279,25,0.031083848,509,1377,0.045213643
Control-roi-03,280,20,0.044033722,510,1191,0.036170915
Control-roi-03,281,91,0.052040475,514,1207,0.164577661
Control-roi-03,282,57,0.050117053,514,520,0.103087107
Control-roi-03,283,33,0.03096148,512,630,0.059682009
Control-roi-03,284,19,0.023108584,511,998,0.034362369
Control-roi-03,285,39,0.038688663,515,573,0.070533283
Control-roi-03,286,16,0.033191234,514,508,0.028936732
Control-roi-03,287,37,0.035893756,516,588,0.066916192
Control-roi-03,288,43,0.0715712,517,1193,0.077767466
Control-roi-03,289,51,0.034477311,522,612,0.092235832
Control-roi-03,290,54,0.049155244,525,511,0.097661469
Control-roi-03,291,57,0.045502403,529,577,0.103087107
Control-roi-03,292,33,0.035848991,526,1185,0.059682009
Control-roi-03,293,27,0.026045455,530,534,0.048830735
Control-roi-03,294,20,0.037744717,534,565,0.036170915
Control-roi-03,295,22,0.030462556,536,504,0.039788006
Control-roi-03,296,37,0.050416633,538,515,0.066916192
Control-roi-03,297,24,0.037376974,539,529,0.043405097
Control-roi-03,298,42,0.047394159,541,570,0.075958921
Control-roi-03,299,47,0.060778308,544,1068,0.085001649
Control-roi-03,300,38,0.034556063,544,551,0.068724738
Control-roi-03,301,15,0.036098777,542,562,0.027128186
Control-roi-03,302,14,0.032575832,548,1078,0.02531964
Control-roi-03,303,50,0.060353399,555,1075,0.090427286
Control-roi-03,304,40,0.033165866,555,565,0.072341829
Control-roi-03,305,9,0.018848283,559,576,0.016276912
Control-roi-03,306,35,0.030423438,566,567,0.063299101
Control-roi-03,307,48,0.044748353,568,1090,0.086810195
Control-roi-03,308,55,0.044215097,570,1072,0.099470015
Control-roi-03,309,33,0.033506963,574,547,0.059682009
Control-roi-03,310,44,0.061495939,574,1111,0.079576012
Control-roi-03,311,44,0.045008219,576,1124,0.079576012
Control-roi-03,312,64,0.079248922,580,1098,0.115746927
Control-roi-03,313,75,0.060459907,584,1072,0.13564093
Control-roi-03,314,26,0.035211954,585,1084,0.047022189
Control-roi-03,315,62,0.047008863,589,1113,0.112129835
Control-roi-03,316,68,0.047911982,605,1104,0.12298111
Control-roi-03,317,24,0.02335584,602,1064,0.043405097
Control-roi-03,318,19,0.019563672,613,1753,0.034362369
Control-roi-03,319,57,0.075257228,617,1076,0.103087107
Control-roi-03,320,30,0.028034892,620,998,0.054256372
Control-roi-03,321,36,0.047942999,620,1743,0.065107646
Control-roi-03,322,79,0.071912293,622,1099,0.142875113
Control-roi-03,323,53,0.046246065,622,1114,0.095852924
Control-roi-03,324,35,0.031331568,620,1713,0.063299101
Control-roi-03,325,23,0.033687276,623,1733,0.041596552
Control-roi-03,326,15,0.019877419,625,986,0.027128186
Control-roi-03,327,34,0.026716303,627,1380,0.061490555
Control-roi-03,328,12,0.024096539,624,1414,0.021702549
Control-roi-03,329,25,0.039884031,626,1724,0.045213643
Control-roi-03,330,36,0.038334478,632,1392,0.065107646
Control-roi-03,331,22,0.028394959,631,1432,0.039788006
Control-roi-03,332,15,0.027587294,630,1739,0.027128186
Control-roi-03,333,12,0.025443147,630,1744,0.021702549
Control-roi-03,334,24,0.025117622,632,1086,0.043405097
Control-roi-03,335,31,0.043103783,632,1726,0.056064918
Control-roi-03,336,23,0.029942845,634,1364,0.041596552
Control-roi-03,337,18,0.030651136,635,1404,0.032553823
Control-roi-03,338,27,0.033110382,639,1372,0.048830735
Control-roi-03,339,32,0.035534924,640,1715,0.057873463
Control-roi-03,340,26,0.023034667,640,942,0.047022189
Control-roi-03,341,9,0.021382976,639,959,0.016276912
Control-roi-03,342,16,0.034587434,640,1410,0.028936732
Control-roi-03,343,76,0.054005092,646,1703,0.137449475
Control-roi-03,344,25,0.027191577,643,967,0.045213643
Control-roi-03,345,44,0.034737857,645,432,0.079576012
Control-roi-03,346,30,0.03249307,645,1389,0.054256372
Control-roi-03,347,16,0.029940108,644,1426,0.028936732
Control-roi-03,348,16,0.033737697,646,1414,0.028936732
Control-roi-03,349,23,0.021299604,648,418,0.041596552
Control-roi-03,350,35,0.03357726,649,1337,0.063299101
Control-roi-03,351,23,0.021842958,648,1458,0.041596552
Control-roi-03,352,12,0.0252931,648,1402,0.021702549
Control-roi-03,353,26,0.03912648,650,1682,0.047022189
Control-roi-03,354,23,0.023985856,650,977,0.041596552
Control-roi-03,355,68,0.068012153,651,1670,0.12298111
Control-roi-03,356,23,0.026475066,651,1350,0.041596552
Control-roi-03,357,23,0.030067571,652,1756,0.041596552
Control-roi-03,358,37,0.033820591,654,1374,0.066916192
Control-roi-03,359,44,0.039378334,655,1395,0.079576012
Control-roi-03,360,18,0.03295864,654,1409,0.032553823
Control-roi-03,361,44,0.033872601,654,1430,0.079576012
Control-roi-03,362,35,0.029294706,656,1447,0.063299101
Control-roi-03,363,35,0.039758036,658,1686,0.063299101
Control-roi-03,364,35,0.051007858,659,1698,0.063299101
Control-roi-03,365,37,0.035462379,659,1750,0.066916192
Control-roi-03,366,18,0.02251723,658,1341,0.032553823
Control-roi-03,367,43,0.045703964,661,1723,0.077767466
Control-roi-03,368,50,0.043058518,663,393,0.090427286
Control-roi-03,369,15,0.025628036,661,1386,0.027128186
Control-roi-03,370,49,0.053290421,663,1737,0.088618741
Control-roi-03,371,22,0.030260028,664,1377,0.039788006
Control-roi-03,372,15,0.021749193,665,1363,0.027128186
Control-roi-03,373,18,0.030018735,664,1407,0.032553823
Control-roi-03,374,83,0.044795341,673,410,0.150109296
Control-roi-03,375,31,0.029959859,667,1451,0.056064918
Control-roi-03,376,29,0.026202371,669,1676,0.052447826
Control-roi-03,377,32,0.045340276,668,1701,0.057873463
Control-roi-03,378,9,0.017083323,666,1772,0.016276912
Control-roi-03,379,60,0.040786603,671,1651,0.108512744
Control-roi-03,380,54,0.032925578,671,431,0.097661469
Control-roi-03,381,55,0.040418097,671,1395,0.099470015
Control-roi-03,382,98,0.044658642,677,1664,0.177237481
Control-roi-03,383,43,0.040769622,671,1758,0.077767466
Control-roi-03,384,21,0.031118232,671,1692,0.03797946
Control-roi-03,385,49,0.053713003,675,1747,0.088618741
Control-roi-03,386,41,0.033637956,675,1365,0.074150375
Control-roi-03,387,32,0.040568971,676,1342,0.057873463
Control-roi-03,388,26,0.034741272,676,1354,0.047022189
Control-roi-03,389,42,0.056222593,678,1711,0.075958921
Control-roi-03,390,51,0.045814166,678,1724,0.092235832
Control-roi-03,391,12,0.036260522,678,1422,0.021702549
Control-roi-03,392,33,0.050125425,680,1404,0.059682009
Control-roi-03,393,24,0.026833626,680,1443,0.043405097
Control-roi-03,394,25,0.034778973,682,1389,0.045213643
Control-roi-03,395,23,0.035642421,682,1429,0.041596552
Control-roi-03,396,42,0.042259861,683,1687,0.075958921
Control-roi-03,397,42,0.038426577,685,421,0.075958921
Control-roi-03,398,12,0.028440274,684,1366,0.021702549
Control-roi-03,399,19,0.036580694,684,1414,0.034362369
Control-roi-03,400,29,0.035604034,685,1734,0.052447826
Control-roi-03,401,28,0.037688149,687,1373,0.05063928
Control-roi-03,402,38,0.035878378,689,1332,0.068724738
Control-roi-03,403,24,0.035981409,688,1706,0.043405097
Control-roi-03,404,35,0.035951128,690,1655,0.063299101
Control-roi-03,405,29,0.035217823,690,1695,0.052447826
Control-roi-03,406,23,0.039649573,690,1384,0.041596552
Control-roi-03,407,47,0.03822872,693,1676,0.085001649
Control-roi-03,408,52,0.038113809,695,1359,0.094044378
Control-roi-03,409,26,0.031986431,693,1420,0.047022189
Control-roi-03,410,97,0.042508174,695,1724,0.175428936
Control-roi-03,411,12,0.030752015,696,1388,0.021702549
Control-roi-03,412,33,0.028658293,698,108,0.059682009
Control-roi-03,413,38,0.040615501,700,1430,0.068724738
Control-roi-03,414,22,0.023134064,698,1762,0.039788006
Control-roi-03,415,40,0.038886854,702,1697,0.072341829
Control-roi-03,416,23,0.027208163,702,128,0.041596552
Control-roi-03,417,37,0.034149691,707,95,0.066916192
Control-roi-03,418,36,0.040350788,709,136,0.065107646
Control-roi-03,419,27,0.02938605,708,1724,0.048830735
Control-roi-03,420,48,0.039758653,710,110,0.086810195
Control-roi-03,421,28,0.030367088,709,1748,0.05063928
Control-roi-03,422,16,0.019318875,710,1440,0.028936732
Control-roi-03,423,35,0.039337758,713,1704,0.063299101
Control-roi-03,424,26,0.032837415,718,1737,0.047022189
Control-roi-03,425,32,0.032567998,719,77,0.057873463
Control-roi-03,426,23,0.028882675,719,146,0.041596552
Control-roi-03,427,44,0.042935073,721,89,0.079576012
Control-roi-03,428,26,0.028767364,721,1747,0.047022189
Control-roi-03,429,56,0.037987607,727,1723,0.101278561
Control-roi-03,430,38,0.030218084,725,128,0.068724738
Control-roi-03,431,28,0.04523537,726,106,0.05063928
Control-roi-03,432,30,0.03012843,726,1412,0.054256372
Control-roi-03,433,43,0.037260047,731,150,0.077767466
Control-roi-03,434,23,0.026005354,730,1734,0.041596552
Control-roi-03,435,49,0.037933306,733,74,0.088618741
Control-roi-03,436,34,0.032935701,733,1400,0.061490555
Control-roi-03,437,34,0.043459938,734,94,0.061490555
Control-roi-03,438,35,0.032152067,733,1432,0.063299101
Control-roi-03,439,27,0.042709437,734,105,0.048830735
Control-roi-03,440,36,0.039882421,738,127,0.065107646
Control-roi-03,441,12,0.027164874,737,138,0.021702549
Control-roi-03,442,15,0.020700389,738,1380,0.027128186
Control-roi-03,443,32,0.030471313,743,140,0.057873463
Control-roi-03,444,26,0.027032531,743,1422,0.047022189
Control-roi-03,445,16,0.024583238,744,80,0.028936732
Control-roi-03,446,18,0.021063384,744,1369,0.032553823
Control-roi-03,447,15,0.021885506,743,1400,0.027128186
Control-roi-03,448,12,0.019854531,744,1445,0.021702549
Control-roi-03,449,50,0.034093843,750,111,0.090427286
Control-roi-03,450,15,0.027470308,748,130,0.027128186
Control-roi-03,451,16,0.021055543,750,980,0.028936732
Control-roi-03,452,30,0.02750337,751,1435,0.054256372
Control-roi-03,453,37,0.034241658,752,1457,0.066916192
